physical_time, physical_step, Observer_1_pressure, Observer_2_pressure, Observer_3_pressure
19.68695,981,-0.0000003592564,-0.0000003592564,0
19.69404,982,-0.0000003484717,-0.0000003484717,0
19.70113,983,-0.0000003358548,-0.0000003358548,0
19.70822,984,-0.0000003260641,-0.0000003260641,0
19.71531,985,-0.0000003220866,-0.0000003220866,0
19.7224,986,-0.0000003185844,-0.0000003185844,0
19.72949,987,-0.0000003123539,-0.0000003123539,0
19.73658,988,-0.0000003058035,-0.0000003058035,0
19.74367,989,-0.0000002983367,-0.0000002983367,0
19.75076,990,-0.0000002941018,-0.0000002941018,0
19.75785,991,-0.0000002921926,-0.0000002921926,0
19.76494,992,-0.0000002955637,-0.0000002955637,0
19.77203,993,-0.0000002947185,-0.0000002947185,0
19.77911,994,-0.0000002899759,-0.0000002899759,0
19.7862,995,-0.0000002849089,-0.0000002849089,0
19.79329,996,-0.0000002838042,-0.0000002838042,0
19.80038,997,-0.0000002815687,-0.0000002815687,0
19.80747,998,-0.0000002799187,-0.0000002799187,0
19.81456,999,-0.0000002796224,-0.0000002796224,0
19.82165,1000,-0.0000002777555,-0.0000002777555,0
19.82874,1001,-0.0000002757703,-0.0000002757703,0
19.83583,1002,-0.0000002721285,-0.0000002721285,0
19.84292,1003,-0.0000002657504,-0.0000002657504,0
19.85001,1004,-0.0000002555073,-0.0000002555073,0
19.8571,1005,-0.0000002464973,-0.0000002464973,0
19.86419,1006,-0.0000002386967,-0.0000002386967,0
19.87128,1007,-0.0000002295108,-0.0000002295108,0
19.87837,1008,-0.0000002194018,-0.0000002194018,0
19.88546,1009,-0.0000002091506,-0.0000002091506,0
19.89255,1010,-0.0000002017109,-0.0000002017109,0
19.89964,1011,-0.0000001968909,-0.0000001968909,0
19.90673,1012,-0.0000001934703,-0.0000001934703,0
19.91382,1013,-0.0000001920963,-0.0000001920963,0
19.92091,1014,-0.0000001940662,-0.0000001940662,0
19.928,1015,-0.0000001995761,-0.0000001995761,0
19.93509,1016,-0.0000002027913,-0.0000002027913,0
19.94218,1017,-0.0000002066399,-0.0000002066399,0
19.94926,1018,-0.00000020972,-0.00000020972,0
19.95635,1019,-0.0000002119345,-0.0000002119345,0
19.96344,1020,-0.0000002162697,-0.0000002162697,0
19.97053,1021,-0.0000002183983,-0.0000002183983,0
19.97762,1022,-0.0000002194564,-0.0000002194564,0
19.98471,1023,-0.0000002205045,-0.0000002205045,0
19.9918,1024,-0.0000002213376,-0.0000002213376,0
19.99889,1025,-0.0000002226732,-0.0000002226732,0
20.00598,1026,-0.0000002217946,-0.0000002217946,0
20.01307,1027,-0.0000002214555,-0.0000002214555,0
20.02016,1028,-0.0000002219616,-0.0000002219616,0
20.02725,1029,-0.0000002209153,-0.0000002209153,0
20.03434,1030,-0.0000002186693,-0.0000002186693,0
20.04143,1031,-0.000000218152,-0.000000218152,0
20.04852,1032,-0.0000002212981,-0.0000002212981,0
20.05561,1033,-0.0000002243314,-0.0000002243314,0
20.0627,1034,-0.0000002238168,-0.0000002238168,0
20.06979,1035,-0.0000002245283,-0.0000002245283,0
20.07688,1036,-0.000000221595,-0.000000221595,0
20.08397,1037,-0.0000002197576,-0.0000002197576,0
20.09106,1038,-0.0000002227874,-0.0000002227874,0
20.09815,1039,-0.0000002151848,-0.0000002151848,0
20.10524,1040,-0.0000002164676,-0.0000002164676,0
20.11233,1041,-0.000000214519,-0.000000214519,0
20.11941,1042,-0.0000002197717,-0.0000002197717,0
20.1265,1043,-0.0000002262814,-0.0000002262814,0
20.13359,1044,-0.0000002308228,-0.0000002308228,0
20.14068,1045,-0.00000023518,-0.00000023518,0
20.14777,1046,-0.0000002393722,-0.0000002393722,0
20.15486,1047,-0.0000002455905,-0.0000002455905,0
20.16195,1048,-0.0000002498541,-0.0000002498541,0
20.16904,1049,-0.0000002577108,-0.0000002577108,0
20.17613,1050,-0.0000002588241,-0.0000002588241,0
20.18322,1051,-0.000000265661,-0.000000265661,0
20.19031,1052,-0.0000002671447,-0.0000002671447,0
20.1974,1053,-0.0000002733065,-0.0000002733065,0
20.20449,1054,-0.0000002749485,-0.0000002749485,0
20.21158,1055,-0.0000002814133,-0.0000002814133,0
20.21867,1056,-0.0000002864908,-0.0000002864908,0
20.22576,1057,-0.0000002908279,-0.0000002908279,0
20.23285,1058,-0.0000002953752,-0.0000002953752,0
20.23994,1059,-0.0000003027102,-0.0000003027102,0
20.24703,1060,-0.0000003068652,-0.0000003068652,0
20.25412,1061,-0.0000003136817,-0.0000003136817,0
20.26121,1062,-0.0000003131159,-0.0000003131159,0
20.2683,1063,-0.0000003192318,-0.0000003192318,0
20.27539,1064,-0.000000330409,-0.000000330409,0
20.28248,1065,-0.0000003352062,-0.0000003352062,0
20.28956,1066,-0.0000003422034,-0.0000003422034,0
20.29665,1067,-0.0000003481069,-0.0000003481069,0
20.30374,1068,-0.0000003503015,-0.0000003503015,0
20.31083,1069,-0.0000003520162,-0.0000003520162,0
20.31792,1070,-0.0000003557499,-0.0000003557499,0
20.32501,1071,-0.0000003595629,-0.0000003595629,0
20.3321,1072,-0.0000003644497,-0.0000003644497,0
20.33919,1073,-0.0000003719854,-0.0000003719854,0
20.34628,1074,-0.0000003730333,-0.0000003730333,0
20.35337,1075,-0.00000037433,-0.00000037433,0
20.36046,1076,-0.0000003781924,-0.0000003781924,0
20.36755,1077,-0.0000003832861,-0.0000003832861,0
20.37464,1078,-0.0000003823262,-0.0000003823262,0
20.38173,1079,-0.0000003851002,-0.0000003851002,0
20.38882,1080,-0.0000003841878,-0.0000003841878,0
20.39591,1081,-0.0000003884165,-0.0000003884165,0
20.403,1082,-0.0000003891684,-0.0000003891684,0
20.41009,1083,-0.0000003919432,-0.0000003919432,0
20.41718,1084,-0.0000003895155,-0.0000003895155,0
20.42427,1085,-0.0000003902709,-0.0000003902709,0
20.43136,1086,-0.0000003955986,-0.0000003955986,0
20.43845,1087,-0.0000003944907,-0.0000003944907,0
20.44554,1088,-0.000000399666,-0.000000399666,0
20.45263,1089,-0.0000003969761,-0.0000003969761,0
20.45971,1090,-0.0000003959969,-0.0000003959969,0
20.4668,1091,-0.0000003910685,-0.0000003910685,0
20.47389,1092,-0.0000003857654,-0.0000003857654,0
20.48098,1093,-0.0000003865541,-0.0000003865541,0
20.48807,1094,-0.0000003855462,-0.0000003855462,0
20.49516,1095,-0.00000038224,-0.00000038224,0
20.50225,1096,-0.00000037956,-0.00000037956,0
20.50934,1097,-0.0000003839317,-0.0000003839317,0
20.51643,1098,-0.0000003840917,-0.0000003840917,0
20.52352,1099,-0.0000003811232,-0.0000003811232,0
20.53061,1100,-0.0000003760334,-0.0000003760334,0
20.5377,1101,-0.0000003737529,-0.0000003737529,0
20.54479,1102,-0.0000003724649,-0.0000003724649,0
20.55188,1103,-0.0000003708843,-0.0000003708843,0
20.55897,1104,-0.0000003707515,-0.0000003707515,0
20.56606,1105,-0.0000003679661,-0.0000003679661,0
20.57315,1106,-0.0000003603685,-0.0000003603685,0
20.58024,1107,-0.0000003611392,-0.0000003611392,0
20.58733,1108,-0.0000003550518,-0.0000003550518,0
20.59442,1109,-0.0000003522846,-0.0000003522846,0
20.60151,1110,-0.0000003516369,-0.0000003516369,0
20.6086,1111,-0.0000003479943,-0.0000003479943,0
20.61569,1112,-0.0000003462266,-0.0000003462266,0
20.62278,1113,-0.0000003445572,-0.0000003445572,0
20.62986,1114,-0.0000003483268,-0.0000003483268,0
20.63695,1115,-0.0000003529168,-0.0000003529168,0
20.64404,1116,-0.0000003400195,-0.0000003400195,0
20.65113,1117,-0.0000003482878,-0.0000003482878,0
20.65822,1118,-0.0000003423352,-0.0000003423352,0
20.66531,1119,-0.0000003433021,-0.0000003433021,0
20.6724,1120,-0.0000003478937,-0.0000003478937,0
20.67949,1121,-0.0000003438455,-0.0000003438455,0
20.68658,1122,-0.000000346685,-0.000000346685,0
20.69367,1123,-0.0000003461965,-0.0000003461965,0
20.70076,1124,-0.0000003530136,-0.0000003530136,0
20.70785,1125,-0.0000003542974,-0.0000003542974,0
20.71494,1126,-0.0000003546924,-0.0000003546924,0
20.72203,1127,-0.0000003543923,-0.0000003543923,0
20.72912,1128,-0.0000003547777,-0.0000003547777,0
20.73621,1129,-0.0000003596269,-0.0000003596269,0
20.7433,1130,-0.0000003620088,-0.0000003620088,0
20.75039,1131,-0.000000365408,-0.000000365408,0
20.75748,1132,-0.0000003695836,-0.0000003695836,0
20.76457,1133,-0.0000003698084,-0.0000003698084,0
20.77166,1134,-0.0000003719096,-0.0000003719096,0
20.77875,1135,-0.0000003805617,-0.0000003805617,0
20.78584,1136,-0.00000038319,-0.00000038319,0
20.79293,1137,-0.0000003843102,-0.0000003843102,0
20.80001,1138,-0.0000003935605,-0.0000003935605,0
20.8071,1139,-0.000000401305,-0.000000401305,0
20.81419,1140,-0.000000407573,-0.000000407573,0
20.82128,1141,-0.0000004101152,-0.0000004101152,0
20.82837,1142,-0.000000415356,-0.000000415356,0
20.83546,1143,-0.000000422478,-0.000000422478,0
20.84255,1144,-0.0000004333173,-0.0000004333173,0
20.84964,1145,-0.0000004478335,-0.0000004478335,0
20.85673,1146,-0.0000004618491,-0.0000004618491,0
20.86382,1147,-0.0000004696118,-0.0000004696118,0
20.87091,1148,-0.0000004751042,-0.0000004751042,0
20.878,1149,-0.0000004746841,-0.0000004746841,0
20.88509,1150,-0.0000004749943,-0.0000004749943,0
20.89218,1151,-0.0000004769414,-0.0000004769414,0
20.89927,1152,-0.0000004789218,-0.0000004789218,0
20.90636,1153,-0.000000484644,-0.000000484644,0
20.91345,1154,-0.0000004866745,-0.0000004866745,0
20.92054,1155,-0.0000004922079,-0.0000004922079,0
20.92763,1156,-0.0000004956383,-0.0000004956383,0
20.93472,1157,-0.0000005021258,-0.0000005021258,0
20.94181,1158,-0.0000005067118,-0.0000005067118,0
20.9489,1159,-0.0000005088109,-0.0000005088109,0
20.95599,1160,-0.0000005149099,-0.0000005149099,0
20.96308,1161,-0.0000005179233,-0.0000005179233,0
20.97016,1162,-0.0000005208535,-0.0000005208535,0
20.97725,1163,-0.0000005266403,-0.0000005266403,0
20.98434,1164,-0.0000005355905,-0.0000005355905,0
20.99143,1165,-0.0000005372002,-0.0000005372002,0
20.99852,1166,-0.0000005393786,-0.0000005393786,0
21.00561,1167,-0.0000005409331,-0.0000005409331,0
21.0127,1168,-0.0000005470469,-0.0000005470469,0
21.01979,1169,-0.0000005433987,-0.0000005433987,0
21.02688,1170,-0.0000005510266,-0.0000005510266,0
21.03397,1171,-0.0000005491514,-0.0000005491514,0
21.04106,1172,-0.00000054516,-0.00000054516,0
21.04815,1173,-0.0000005464453,-0.0000005464453,0
21.05524,1174,-0.000000545159,-0.000000545159,0
21.06233,1175,-0.0000005437276,-0.0000005437276,0
21.06942,1176,-0.0000005432912,-0.0000005432912,0
21.07651,1177,-0.0000005436789,-0.0000005436789,0
21.0836,1178,-0.0000005432991,-0.0000005432991,0
21.09069,1179,-0.0000005462032,-0.0000005462032,0
