physical_time, physical_step, observer_0_pressure, observer_1_pressure, observer_2_pressure, observer_3_pressure, observer_4_pressure, observer_5_pressure, observer_6_pressure, observer_7_pressure, observer_8_pressure, observer_9_pressure, observer_10_pressure, observer_11_pressure, observer_12_pressure, observer_13_pressure, observer_14_pressure, observer_15_pressure, observer_16_pressure, observer_17_pressure, observer_18_pressure, observer_19_pressure, observer_20_pressure
18.82911,860,0.000003299757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000003202733
18.8362,861,0.000002622514,0.000002826119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000002761896,-0.00000261993
18.84329,862,0.000002016388,0.000002238938,0.000002369943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000002345266,-0.000002256979,-0.00000205456
18.85038,863,0.000001735469,0.000001754321,0.000001867429,0.000001933018,0.000001782948,0,0,0,0,0,0,0,0,0,0,0,-0.00000175551,-0.000001941836,-0.00000190538,-0.000001808802,-0.000001796692
18.85747,864,0.000001665997,0.000001557559,0.000001517896,0.000001532517,0.000001523107,0.000001411354,0,0,0,0,0,0,0,0,0,-0.000001406178,-0.000001547121,-0.000001572831,-0.000001567102,-0.000001610332,-0.000001720045
18.86456,865,0.00000163236,0.000001514674,0.000001392035,0.000001299044,0.000001230014,0.000001154264,0.000001018361,0.0000008172958,0.0000005678161,0.0000002898482,0.000000009639836,-0.0000002701913,-0.0000005525428,-0.00000081786,-0.000001030015,-0.000001173479,-0.000001263392,-0.000001332688,-0.000001425953,-0.000001549775,-0.000001677924
18.87165,866,0.000001579948,0.000001488935,0.000001363966,0.000001226769,0.000001093472,0.0000009661422,0.0000008343898,0.0000006647943,0.0000004736921,0.0000002450925,-5.381623E-10,-0.0000002444457,-0.0000004770582,-0.0000006756887,-0.0000008447373,-0.000000977114,-0.000001105136,-0.000001236788,-0.0000013795,-0.00000150813,-0.000001604095
18.87874,867,0.000001502443,0.000001430854,0.000001328261,0.000001195722,0.000001048323,0.0000008970746,0.0000007404744,0.0000005796068,0.0000004018225,0.000000209966,0.000000006943719,-0.0000001954595,-0.0000003888134,-0.0000005700246,-0.0000007274326,-0.0000008849857,-0.000001036035,-0.000001187959,-0.000001318199,-0.000001424991,-0.000001505691
18.88583,868,0.000001419627,0.000001352285,0.00000126346,0.000001152065,0.000001018989,0.0000008682341,0.0000007111929,0.0000005444588,0.0000003717297,0.0000001988393,0.00000001539593,-0.0000001649623,-0.0000003372194,-0.0000005105646,-0.0000006748845,-0.000000836805,-0.0000009849547,-0.00000112078,-0.000001235032,-0.0000013249,-0.000001396032
18.89292,869,0.000001341372,0.000001272975,0.000001189683,0.000001088577,0.0000009729044,0.0000008367513,0.0000006878856,0.0000005308936,0.0000003627991,0.0000001945314,0.00000002627659,-0.0000001395692,-0.0000003152934,-0.0000004788448,-0.0000006361888,-0.0000007872697,-0.0000009231442,-0.000001037169,-0.000001135797,-0.000001218645,-0.000001291783
18.90001,870,0.000001259849,0.000001197657,0.000001113421,0.000001023157,0.0000009144823,0.000000788495,0.0000006522262,0.0000005033716,0.0000003466386,0.0000001884605,0.00000002865324,-0.0000001324186,-0.0000002879083,-0.0000004438541,-0.00000059046,-0.0000007255289,-0.0000008494593,-0.000000956603,-0.000001047802,-0.000001126411,-0.000001192308
18.9071,871,0.000001174579,0.000001111734,0.000001039794,0.000000950563,0.0000008457194,0.0000007332623,0.0000006078516,0.0000004733941,0.0000003336929,0.0000001798598,0.00000002994203,-0.0000001251828,-0.0000002713811,-0.0000004188746,-0.0000005468534,-0.0000006769629,-0.0000007878196,-0.0000008893691,-0.000000972154,-0.000001046824,-0.000001106166
18.91419,872,0.000001088482,0.000001031619,0.0000009627666,0.0000008806664,0.0000007844837,0.0000006820483,0.0000005656408,0.0000004430106,0.0000003083417,0.0000001682314,0.00000002266723,-0.000000115228,-0.0000002636506,-0.0000003968746,-0.0000005238862,-0.0000006350191,-0.0000007370667,-0.0000008289405,-0.0000009121727,-0.0000009785321,-0.000001031958
18.92128,873,0.000001004587,0.0000009492292,0.0000008844731,0.000000810746,0.0000007278856,0.0000006347699,0.0000005273678,0.000000407213,0.0000002880251,0.0000001564289,0.00000001577344,-0.0000001214241,-0.0000002488945,-0.0000003855703,-0.0000005029157,-0.0000006100909,-0.0000007052497,-0.0000007875577,-0.0000008606255,-0.0000009254518,-0.0000009731934
18.92836,874,0.0000009279012,0.0000008743319,0.0000008163616,0.0000007546918,0.0000006773321,0.0000005939029,0.0000005000095,0.0000003897015,0.0000002704206,0.0000001379812,0.000000009594757,-0.0000001203407,-0.0000002513545,-0.0000003742586,-0.0000004899772,-0.0000005949606,-0.0000006836465,-0.0000007609635,-0.0000008258936,-0.0000008856629,-0.0000009338353
18.93545,875,0.0000008626143,0.0000008190144,0.0000007687044,0.00000071199,0.0000006439098,0.0000005663672,0.0000004701761,0.0000003692554,0.0000002533525,0.0000001283417,0.000000007996609,-0.0000001204362,-0.0000002462026,-0.0000003704613,-0.0000004806105,-0.0000005802252,-0.0000006721959,-0.0000007465412,-0.0000008063948,-0.0000008553825,-0.0000009013184
18.94254,876,0.0000008131762,0.0000007806543,0.0000007360966,0.0000006838482,0.0000006195401,0.0000005449119,0.000000452119,0.0000003576068,0.0000002439459,0.0000001291428,0.000000005058562,-0.0000001212069,-0.0000002385105,-0.0000003593772,-0.0000004641637,-0.000000568745,-0.0000006562343,-0.0000007260919,-0.0000007876723,-0.0000008348325,-0.0000008675406
