c81 format file for XV15 propeller airfoil,,,,
-120,0.916008723,0.916008723,0.916008723,0.916008723
-110,0.98968153,0.98968153,0.98968153,0.98968153
-100,1.03479898,1.03479898,1.03479898,1.03479898
-90,1.049991874,1.049991874,1.049991874,1.049991874
-80,1.03479898,1.03479898,1.03479898,1.03479898
-70,0.98968153,0.98968153,0.98968153,0.98968153
-60,0.916008723,0.916008723,0.916008723,0.916008723
-50,0.81601364,0.81601364,0.81601364,0.81601364
-40,0.692713568,0.692713568,0.692713568,0.692713568
-30,0.532837548,0.549740162,0.549740162,0.549740162
-29,0.446128047,0.534506491,0.534506491,0.534506491
-28,0.325451291,0.519115645,0.519115645,0.519115645
-27,0.203951395,0.503569722,0.503569722,0.503569722
-26,0.114278776,0.487870034,0.487870034,0.487870034
-25,0.028469728,0.466270252,0.472016781,0.472016781
-24,0.023401697,0.426688788,0.4560086,0.4560086
-23,0.019514661,0.377623178,0.439841894,0.439841894
-22,0.016745976,0.331099873,0.423509855,0.423509855
-21,0.014924772,0.297457083,0.407000993,0.407000993
-20,0.013746841,0.231662302,0.390296924,0.390296924
-19,0.012870277,0.22450715,0.373368962,0.373368962
-18,0.012071813,0.215656181,0.356172855,0.356172855
-17,0.011279575,0.202023704,0.338640593,0.338640593
-16,0.010496436,0.180278513,0.320667659,0.320667659
-15,0.009739117,0.150695107,0.302093609,0.302093609
-14,0.009019529,0.118241565,0.282674029,0.282674029
-13,0.008343969,0.088098582,0.264186864,0.262045608
-12,0.007715407,0.062837606,0.253386588,0.239701003
-11,0.007135175,0.043021807,0.252318704,0.21503316
-10,0.006603855,0.028305095,0.259954531,0.187591385
-9,0.006121698,0.018010377,0.270505705,0.157719808
-8,0.005688812,0.011351462,0.222769285,0.134654814
-7,0.00530524,0.007508113,0.216107424,0.141865789
-6,0.004971004,0.005649893,0.206433766,0.177002996
-5,0.004686109,0.004943441,0.186279897,0.223255401
-4,0.004450561,0.004603955,0.149312232,0.259074946
-3,0.004264359,0.004341949,0.104629437,0.21870274
-2,0.004127506,0.004153964,0.065836254,0.211496796
-1,0.00404,0.00404,0.037674235,0.190306216
0,0.004001842,0.004000058,0.028033478,0.196792198
1,0.004013032,0.004034138,0.051241487,0.213265786
2,0.00407357,0.004142238,0.085170509,0.26990569
3,0.004183454,0.004324356,0.128257725,0.260046947
4,0.004342681,0.00458048,0.170841038,0.222167471
5,0.004551246,0.004911914,0.19886786,0.170131609
6,0.004809132,0.005562205,0.212269867,0.125336788
7,0.005116298,0.007295139,0.219742802,0.10838581
8,0.005472646,0.010933514,0.276216547,0.12735895
9,0.00587794,0.017267741,0.274079802,0.157719808
10,0.006331626,0.026978257,0.263176935,0.187591385
11,0.006832423,0.04040464,0.254648777,0.21503316
12,0.007377484,0.056986638,0.254564888,0.239701003
13,0.007960934,0.074480775,0.264434503,0.262045608
14,0.008572608,0.089391271,0.282674029,0.282674029
15,0.009202686,0.099839262,0.302093609,0.302093609
16,0.009870069,0.10697941,0.320667659,0.320667659
17,0.010691818,0.112876053,0.338640593,0.338640593
18,0.011937295,0.168889014,0.356172855,0.356172855
19,0.013948652,0.190146335,0.373368962,0.373368962
20,0.016986945,0.239635867,0.390296924,0.390296924
21,0.021179404,0.307609632,0.407000993,0.407000993
22,0.076564292,0.377400867,0.423509855,0.423509855
23,0.109287986,0.430908406,0.439841894,0.439841894
24,0.190104863,0.4560086,0.4560086,0.4560086
25,0.299716537,0.472016781,0.472016781,0.472016781
26,0.409081843,0.487870034,0.487870034,0.487870034
27,0.488477035,0.503569722,0.503569722,0.503569722
28,0.519115645,0.519115645,0.519115645,0.519115645
30,0.549740162,0.549740162,0.549740162,0.549740162
40,0.692713568,0.692713568,0.692713568,0.692713568
50,0.81601364,0.81601364,0.81601364,0.81601364
60,0.916008723,0.916008723,0.916008723,0.916008723
70,0.98968153,0.98968153,0.98968153,0.98968153
80,1.03479898,1.03479898,1.03479898,1.03479898
90,1.049991874,1.049991874,1.049991874,1.049991874
100,1.03479898,1.03479898,1.03479898,1.03479898
110,0.98968153,0.98968153,0.98968153,0.98968153
120,0.916008723,0.916008723,0.916008723,0.916008723
130,0.81601364,0.81601364,0.81601364,0.81601364
140,0.692713568,0.692713568,0.692713568,0.692713568
150,0.549740162,0.549740162,0.549740162,0.549740162
160,0.390296924,0.390296924,0.390296924,0.390296924
170,0.187591385,0.187591385,0.187591385,0.187591385
180,0.05,0.05,0.05,0.05
